BELNR,WAERS,BUKRS,KTOSL,PRCTR,BSCHL,HKONT,DMBTR,WRBTR,label
288203,C3,C31,C9,C92,A3,B1,280979.6,0,regular
324441,C1,C18,C7,C76,A1,B2,129856.53,243343,regular
133537,C1,C19,C2,C20,A1,B3,957463.97,3183838.41,regular
331521,C4,C48,C9,C95,A2,B1,2681709.51,28778,regular
375333,C5,C58,C1,C19,A3,B1,910514.49,346,regular
375334,C1,C15,C6,C68,A1,B2,357627.56,704520,regular
375335,C4,C47,C2,C28,A2,B3,955576.84,128328,regular
375336,C1,C19,C1,C17,A1,B1,41769.26,0,regular
375337,C4,C40,C9,C97,A2,B1,44309.79,0,regular
375338,C6,C69,C1,C12,A2,B1,466720.45,43843,regular
375339,C1,C16,C9,C99,A1,B1,1036068.8,198,regular
375340,C1,C12,C1,C16,A1,B1,535235.52,126694.01,regular
375341,C9,C90,C2,C20,A2,B3,1614700,0,regular
375342,C1,C12,C2,C21,A1,B3,666944.08,0,regular
375343,C4,C47,C5,C58,A2,B1,1321085.73,0,regular
375344,C8,C80,C7,C75,A1,B2,2065589.12,2692,regular
375345,C2,C20,C1,C11,A1,B1,712987.82,0,regular
375346,C2,C21,C8,C82,A1,B3,330161.24,19082,regular
375347,C3,C37,C8,C82,A3,B3,1776131.28,190,regular
375348,C1,C16,C1,C10,A1,B1,327014.78,0,regular
375349,C1,C16,C2,C20,A1,B3,1776361.14,0,regular
375350,C1,C18,C2,C20,A1,B3,740767.6,892,regular
375351,C5,C50,C5,C56,A3,B1,9543711.71,8405,regular
375352,C1,C17,C2,C20,A1,B3,2663942.99,0,regular
375353,C1,C10,C1,C10,A1,B1,1542210.3,0,regular
375354,C2,C25,C7,C74,A1,B2,7738.81,21569,regular
375355,C2,C27,C2,C20,A1,B3,645840.87,0,regular
375356,C1,C15,C2,C21,A1,B3,521097.18,55009.11,regular
375357,C1,C17,C1,C10,A1,B1,130137.21,0,regular
375358,C3,C37,C1,C19,A3,B1,189590.16,0,regular
375359,C1,C16,C1,C19,A1,B1,80704.76,0,regular
375360,C6,C60,C1,C17,A2,B1,1489631.24,21291,regular
375361,C5,C56,C1,C19,A3,B1,71387.59,5972,regular
375362,C1,C10,C1,C15,A1,B1,667850.57,0,regular
375363,C8,C84,C2,C24,A1,B3,137531.07,19823,regular
375364,C2,C20,C1,C14,A1,B1,10683.67,0,regular
375365,C4,C48,C5,C59,A2,B1,333794.38,0,regular
